#: table_doi: 10.17182/hepdata.106115.v2/t34
#: name: Cut flow for Mono-V (high purity), Higgs portal
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_mono-v_(high_purity),_higgs_portal.yaml
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword phrases: H(inv) | Higgs invisible
#: keyword cmenergies: 13000.0
#: Data-taking period,2017
#: Mode,VBF
#: $m_{H}$ [GeV],125
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.18189
$p_{T}^{miss} > 250$ GeV,0.033247
$p_{T}^{miss}$ quality filters,0.033176
Electron veto,0.033114
Muon veto,0.033034
Tau veto,0.0323
B jet veto,0.0323
Photon veto,0.0321
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.030748
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.030582
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.012725
Leading AK8 jet energy fractions,0.012725
Leading AK8 jet $65<m_{SD}<105$ GeV,0.0012819
HCAL mitigation (jets),0.0012819
HCAL mitigation ($\phi^{miss}$),0.0012819
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.0012819
Leading AK8 jet DeepAK8 tag (high-purity),8.051e-05

#: Data-taking period,2018
#: Mode,VBF
#: $m_{H}$ [GeV],125
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.15496
$p_{T}^{miss} > 250$ GeV,0.030849
$p_{T}^{miss}$ quality filters,0.030798
Electron veto,0.030718
Muon veto,0.030633
Tau veto,0.029882
B jet veto,0.029882
Photon veto,0.029694
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.028584
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.028544
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.012828
Leading AK8 jet energy fractions,0.012828
Leading AK8 jet $65<m_{SD}<105$ GeV,0.0012665
HCAL mitigation (jets),0.0011922
HCAL mitigation ($\phi^{miss}$),0.0010334
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.0010334
Leading AK8 jet DeepAK8 tag (high-purity),6.787e-05

#: Data-taking period,2017
#: Mode,ZH
#: $m_{H}$ [GeV],125
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.1552
$p_{T}^{miss} > 250$ GeV,0.033206
$p_{T}^{miss}$ quality filters,0.033157
Electron veto,0.033053
Muon veto,0.032939
Tau veto,0.031545
B jet veto,0.031545
Photon veto,0.031402
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.028785
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.028575
Leading AK8 jet $p_{T} > 200$ GeV and $\eta < 2.4$,0.019716
Leading AK8 jet energy fractions,0.019716
Leading AK8 jet $65<m_{SD}<105$ GeV,0.01339
HCAL mitigation (jets),0.01339
HCAL mitigation ($\phi^{miss}$),0.01339
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.013389
Leading AK8 jet DeepAK8 tag (high-purity),0.0045105

#: Data-taking period,2018
#: Mode,ZH
#: $m_{H}$ [GeV],125
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.13892
$p_{T}^{miss} > 250$ GeV,0.031794
$p_{T}^{miss}$ quality filters,0.031759
Electron veto,0.031666
Muon veto,0.031558
Tau veto,0.030212
B jet veto,0.030212
Photon veto,0.030073
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.027631
