#: table_doi: 10.17182/hepdata.106115.v2/t42
#: name: 2D exclusion contour, vector, Expected plus 1 s.d.
#: description: Expected plus 1 s.d. exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with vector couplings.
#: data_file: 2d_exclusion_contour,_vector,_expected_plus_1_s.d..yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Vector
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,121.83
2.0621,121.21
30.303,115.24
60.606,107.36
90.909,99.774
121.21,115.83
128.77,121.21
151.52,142.0
165.23,151.52
181.82,165.4
212.12,180.59
217.75,181.82
242.42,188.09
272.73,192.87
303.03,199.27
333.33,208.78
343.52,212.12
363.64,219.7
393.94,231.62
424.24,242.35
424.45,242.42
454.55,255.69
484.85,267.69
500.34,272.73
515.15,277.92
545.45,290.6
575.76,300.04
590.92,303.03
606.06,307.1
636.36,316.05
666.67,325.01
696.97,332.85
698.37,333.33
727.27,348.25
757.58,358.49
772.71,363.64
787.88,371.41
818.18,384.16
848.48,393.94
848.48,393.94
878.79,410.68
909.09,422.42
912.96,424.24
939.39,442.75
969.37,454.55
969.7,454.76
1000.0,475.17
1020.8,484.85
1030.3,490.79
1060.6,507.32
1085.1,515.15
1090.9,517.54
1121.2,528.8
1151.5,540.26
1165.2,545.45
1181.8,555.27
1212.1,573.77
1216.3,575.76
1242.4,589.41
1272.7,600.1
1295.3,606.06
1303.0,608.48
1333.3,616.77
1363.6,626.26
1392.4,636.36
1393.9,637.13
1424.2,652.47
1454.5,663.89
1461.4,666.67
1484.8,677.28
1515.2,688.77
1535.7,696.97
1545.5,701.23
1575.8,712.35
1606.1,722.77
1617.6,727.27
1636.4,734.03
1666.7,743.54
1697.0,754.45
1704.1,757.58
1727.3,765.44
1757.6,774.55
1787.9,787.1
1789.6,787.88
1818.2,796.17
1848.5,804.48
1878.4,818.18
1878.8,818.31
1909.1,823.88
1939.4,827.93
1969.7,827.3
1983.9,818.18
1989.4,787.88
1999.1,757.58
2000.0,754.37
2007.5,727.27
2014.4,696.97
2020.2,666.67
2024.4,636.36
2027.6,606.06
2030.3,577.58
2030.5,575.76
2032.7,545.45
2034.4,515.15
2035.9,484.85
2037.1,454.55
2037.9,424.24
2038.7,393.94
2039.3,363.64
2039.7,333.33
2040.0,303.03
2040.2,272.73
2040.4,242.42
2040.5,212.12
2040.6,181.82
2040.7,151.52
2040.7,121.21
2040.3,90.909
2039.4,60.606
2039.3,30.303
2040.9,0.0

