#: table_doi: 10.17182/hepdata.106115.v2/t38
#: name: 2D exclusion contour, axial, Expected plus 1 s.d.
#: description: Expected plus 1 s.d. exclusion contour in the $m_{med}$-$m_{\chi}$ plane in the simplified model with axial couplings.
#: data_file: 2d_exclusion_contour,_axial,_expected_plus_1_s.d..yaml
#: keyword reactions: P P --> INVISIBLE JET | P P --> INVISIBLE JET JET | P P --> INVISIBLE W+ | P P --> INVISIBLE W- | P P --> INVISIBLE Z0
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000.0
#: $g_{q}$,0.25
#: $g_{\chi}$,1.0
#: Coupling type,Axial
#: Integrated luminosity [fb$^{-1}$],137
$m_{med}$ [GeV],$m_{\chi}$ [GeV]
0.0,81.001
30.303,76.379
60.606,70.447
80.082,60.606
90.909,58.819
97.879,60.606
121.21,73.927
151.52,85.906
181.82,89.713
184.14,90.909
212.12,106.85
242.42,113.25
259.16,121.21
272.73,130.51
303.03,139.97
333.33,151.35
333.59,151.52
363.64,166.69
393.94,174.87
405.0,181.82
424.24,194.05
454.55,202.93
471.18,212.12
484.85,221.49
515.15,232.28
537.34,242.42
545.45,247.58
575.76,260.78
602.2,272.73
606.06,275.3
636.36,290.08
666.67,300.28
672.25,303.03
696.97,313.85
727.27,323.97
747.02,333.33
757.58,338.22
787.88,347.07
818.18,357.69
829.07,363.64
848.48,370.42
878.79,379.81
903.83,393.94
909.09,396.33
939.39,406.65
969.7,423.89
970.3,424.24
1000.0,434.72
1030.3,448.56
1041.0,454.55
1060.6,460.77
1090.9,469.58
1116.8,484.85
1121.2,486.61
1151.5,494.82
1181.8,510.34
1190.5,515.15
1212.1,521.27
1242.4,531.08
1267.4,545.45
1272.7,547.04
1303.0,553.15
1333.3,566.03
1352.4,575.76
1363.6,577.97
1393.9,584.46
1424.2,597.38
1444.2,606.06
1454.5,607.79
1484.8,613.21
1515.2,620.79
1545.5,627.28
1575.8,629.33
1606.1,630.09
1636.4,629.52
1666.7,627.08
1697.0,623.42
1727.3,618.51
1757.6,611.15
1772.9,606.06
1787.9,599.72
1818.2,583.77
1831.1,575.76
1848.5,562.01
1867.6,545.45
1878.8,534.0
1895.8,515.15
1909.1,497.13
1917.7,484.85
1935.9,454.55
1939.4,447.74
1951.2,424.24
1963.9,393.94
1969.7,378.59
1975.5,363.64
1985.4,333.33
1993.2,303.03
2000.0,276.95
2001.2,272.73
2008.1,242.42
2013.3,212.12
2018.3,181.82
2022.7,151.52
2025.6,121.21
2026.9,90.909
2027.0,60.606
2027.7,30.303
2030.3,8.5655
2031.4,0.0

