

# Contour value=5.00 
mST_GeV,deltaM_GeV
4.0402e+02,1.0000e+01
4.0408e+02,1.0982e+01
4.0442e+02,1.1964e+01
4.0479e+02,1.2946e+01
4.0515e+02,1.3928e+01
4.0552e+02,1.4910e+01
4.0589e+02,1.5892e+01
4.0626e+02,1.6874e+01
4.0663e+02,1.7856e+01
4.0699e+02,1.8838e+01
4.0736e+02,1.9820e+01
4.0773e+02,2.0802e+01
4.0810e+02,2.1784e+01
4.0822e+02,2.2098e+01
4.0847e+02,2.2766e+01
4.0883e+02,2.3747e+01
4.0920e+02,2.4729e+01
4.0923e+02,2.5711e+01
4.0914e+02,2.6693e+01
4.0904e+02,2.7675e+01
4.0895e+02,2.8657e+01
4.0885e+02,2.9639e+01
4.0875e+02,3.0621e+01
4.0866e+02,3.1603e+01
4.0856e+02,3.2585e+01
4.0846e+02,3.3567e+01
4.0837e+02,3.4549e+01
4.0827e+02,3.5531e+01
4.0822e+02,3.6088e+01
4.0817e+02,3.6513e+01
4.0808e+02,3.7495e+01
4.0798e+02,3.8477e+01
4.0789e+02,3.9459e+01
4.0779e+02,4.0441e+01
4.0769e+02,4.1423e+01
4.0760e+02,4.2405e+01
4.0750e+02,4.3387e+01
4.0740e+02,4.4369e+01
4.0731e+02,4.5351e+01
4.0721e+02,4.6333e+01
4.0712e+02,4.7315e+01
4.0707e+02,4.8297e+01
4.0712e+02,4.9279e+01
4.0723e+02,5.0261e+01
4.0735e+02,5.1242e+01
4.0748e+02,5.2224e+01
4.0759e+02,5.3206e+01
4.0770e+02,5.4188e+01
4.0781e+02,5.5170e+01
4.0792e+02,5.6152e+01
4.0803e+02,5.7134e+01
4.0814e+02,5.8116e+01
4.0822e+02,5.8770e+01
4.0825e+02,5.9098e+01
4.0836e+02,6.0080e+01
4.0848e+02,6.1062e+01
4.0859e+02,6.2044e+01
4.0870e+02,6.3026e+01
4.0881e+02,6.4008e+01
4.0892e+02,6.4990e+01
4.0903e+02,6.5972e+01
4.0914e+02,6.6954e+01
4.0925e+02,6.7936e+01
4.0936e+02,6.8918e+01
4.0947e+02,6.9900e+01
4.0958e+02,7.0882e+01
4.0970e+02,7.1864e+01
4.0981e+02,7.2846e+01
4.0992e+02,7.3828e+01
4.1003e+02,7.4810e+01
4.1003e+02,7.5792e+01
4.1000e+02,7.6774e+01
4.0997e+02,7.7756e+01
4.0995e+02,7.8737e+01
4.0992e+02,7.9719e+01
4.0989e+02,8.0701e+01
4.0986e+02,8.1683e+01
4.0984e+02,8.2665e+01
4.0981e+02,8.3647e+01
4.0978e+02,8.4629e+01
4.0975e+02,8.5611e+01
4.0973e+02,8.6593e+01
4.0970e+02,8.7575e+01
4.0967e+02,8.8557e+01
4.0965e+02,8.9539e+01
4.0962e+02,9.0521e+01
4.0959e+02,9.1503e+01
4.0956e+02,9.2485e+01
4.0954e+02,9.3467e+01
4.0951e+02,9.4449e+01
4.0948e+02,9.5431e+01
4.0945e+02,9.6413e+01
4.0945e+02,9.7395e+01
4.0948e+02,9.8377e+01
4.0956e+02,9.9359e+01
4.0963e+02,1.0034e+02
4.0966e+02,1.0132e+02
4.0970e+02,1.0230e+02
4.0974e+02,1.0329e+02
4.0977e+02,1.0427e+02
4.0978e+02,1.0525e+02
4.0979e+02,1.0623e+02
4.0980e+02,1.0721e+02
4.0980e+02,1.0820e+02
4.0980e+02,1.0918e+02
4.0980e+02,1.1016e+02
4.0980e+02,1.1114e+02
4.0980e+02,1.1212e+02
4.0980e+02,1.1311e+02
4.0980e+02,1.1409e+02
4.0980e+02,1.1507e+02
4.0980e+02,1.1605e+02
4.0980e+02,1.1703e+02
4.0980e+02,1.1802e+02
4.0979e+02,1.1900e+02
4.0979e+02,1.1998e+02
4.0979e+02,1.2096e+02
4.0979e+02,1.2194e+02
4.0979e+02,1.2293e+02
4.0979e+02,1.2391e+02
4.0979e+02,1.2489e+02
4.0979e+02,1.2587e+02
4.0979e+02,1.2685e+02
4.0979e+02,1.2784e+02
4.0979e+02,1.2882e+02
4.0979e+02,1.2980e+02
4.0979e+02,1.3078e+02
4.0979e+02,1.3176e+02
4.0979e+02,1.3275e+02
4.0979e+02,1.3373e+02
4.0979e+02,1.3471e+02
4.0979e+02,1.3569e+02
4.0979e+02,1.3667e+02
4.0979e+02,1.3766e+02
4.0979e+02,1.3864e+02
4.0979e+02,1.3962e+02
4.0979e+02,1.4060e+02
4.0979e+02,1.4158e+02
4.0979e+02,1.4257e+02
4.0979e+02,1.4355e+02
4.0978e+02,1.4453e+02
4.0978e+02,1.4551e+02
4.0978e+02,1.4649e+02
4.0978e+02,1.4747e+02
4.0978e+02,1.4846e+02
4.0978e+02,1.4944e+02
4.0976e+02,1.5042e+02
4.0971e+02,1.5140e+02
4.0966e+02,1.5238e+02
4.0961e+02,1.5337e+02
4.0956e+02,1.5435e+02
4.0950e+02,1.5533e+02
4.0945e+02,1.5631e+02
4.0940e+02,1.5729e+02
4.0935e+02,1.5828e+02
4.0930e+02,1.5926e+02
4.0925e+02,1.6024e+02
4.0920e+02,1.6122e+02
4.0915e+02,1.6220e+02
4.0909e+02,1.6319e+02
4.0904e+02,1.6417e+02
4.0899e+02,1.6515e+02
4.0894e+02,1.6613e+02
4.0889e+02,1.6711e+02
4.0884e+02,1.6810e+02
4.0879e+02,1.6908e+02
4.0874e+02,1.7006e+02
4.0868e+02,1.7104e+02
4.0863e+02,1.7202e+02
4.0858e+02,1.7301e+02
4.0853e+02,1.7399e+02
4.0848e+02,1.7497e+02
4.0843e+02,1.7595e+02
4.0838e+02,1.7693e+02
4.0833e+02,1.7792e+02
4.0827e+02,1.7890e+02
4.0822e+02,1.7988e+02
4.0822e+02,1.8000e+02
4.0817e+02,1.8086e+02
